::1 - - [25/Apr/2025:07:35:59 +0000] "POST /api/v1/user/signin HTTP/1.1" 200 512 "-" "PostmanRuntime/7.43.2"
::1 - - [25/Apr/2025:07:38:20 +0000] "POST /api/v1/payment/qpay-invoice HTTP/1.1" 200 16888 "-" "PostmanRuntime/7.43.2"
::1 - - [25/Apr/2025:11:11:53 +0000] "POST /api/v1/department HTTP/1.1" 200 38 "-" "PostmanRuntime/7.43.3"
::1 - - [25/Apr/2025:11:30:23 +0000] "POST /api/v1/payment/qpay-invoice HTTP/1.1" 200 17167 "-" "PostmanRuntime/7.43.3"
::1 - - [25/Apr/2025:11:31:30 +0000] "POST /api/v1/payment/qpay-invoice HTTP/1.1" 200 17095 "-" "PostmanRuntime/7.43.3"
::1 - - [25/Apr/2025:11:32:37 +0000] "GET /api/v1/department/qpay?departmentId=1&exp_day=20&userId=1&uniq_generate_id=department_1_cm9wpo8ku0000ysdpg9op8itt&type=premium HTTP/1.1" 500 62 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36"
::1 - - [25/Apr/2025:11:32:37 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "http://localhost:8001/api/v1/department/qpay?departmentId=1&exp_day=20&userId=1&uniq_generate_id=department_1_cm9wpo8ku0000ysdpg9op8itt&type=premium" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36"
::1 - - [25/Apr/2025:11:33:02 +0000] "GET /api/v1/department/qpay?departmentId=1&exp_day=20&userId=1&uniq_generate_id=department_1_cm9wpo8ku0000ysdpg9op8itt&type=premium HTTP/1.1" 201 118 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36"
::1 - - [25/Apr/2025:11:33:48 +0000] "POST /api/v1/payment/qpay-invoice HTTP/1.1" 200 17430 "-" "PostmanRuntime/7.43.3"
::1 - - [25/Apr/2025:11:34:47 +0000] "POST /api/v1/department HTTP/1.1" 200 38 "-" "PostmanRuntime/7.43.3"
::1 - - [25/Apr/2025:11:34:53 +0000] "POST /api/v1/payment/qpay-invoice HTTP/1.1" 200 16826 "-" "PostmanRuntime/7.43.3"
::1 - - [25/Apr/2025:11:35:30 +0000] "POST /api/v1/payment/qpay-invoice HTTP/1.1" 200 29 "-" "PostmanRuntime/7.43.3"
::1 - - [25/Apr/2025:11:38:18 +0000] "POST /api/v1/payment/qpay-invoice HTTP/1.1" 200 75 "-" "PostmanRuntime/7.43.3"
::1 - - [25/Apr/2025:11:38:32 +0000] "POST /api/v1/payment/qpay-invoice HTTP/1.1" 200 19 "-" "PostmanRuntime/7.43.3"
::1 - - [25/Apr/2025:11:39:00 +0000] "POST /api/v1/payment/qpay-invoice HTTP/1.1" 200 17310 "-" "PostmanRuntime/7.43.3"
::1 - - [25/Apr/2025:11:39:49 +0000] "POST /api/v1/payment/qpay-invoice HTTP/1.1" 200 16938 "-" "PostmanRuntime/7.43.3"
::1 - - [25/Apr/2025:11:44:11 +0000] "POST /api/v1/payment/qpay-invoice HTTP/1.1" 200 17041 "-" "PostmanRuntime/7.43.3"
::ffff:127.0.0.1 - - [26/Apr/2025:05:58:02 +0000] "GET /api/v1/user/info HTTP/1.0" 304 - "https://menu-qruvs.vercel.app/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36"
::1 - - [26/Apr/2025:05:58:03 +0000] "GET /api/v1/department/auth?type=food HTTP/1.0" 304 - "https://menu-qruvs.vercel.app/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [26/Apr/2025:05:58:03 +0000] "GET /api/v1/department/auth?type=hotel HTTP/1.0" 304 - "https://menu-qruvs.vercel.app/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [26/Apr/2025:05:58:05 +0000] "GET /api/v1/department/1 HTTP/1.0" 200 550 "https://menu-qruvs.vercel.app/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36"
::1 - - [26/Apr/2025:05:58:23 +0000] "POST /api/v1/payment/qpay-invoice HTTP/1.0" 500 2609 "-" "PostmanRuntime/7.43.3"
::ffff:127.0.0.1 - - [26/Apr/2025:06:01:15 +0000] "POST /api/v1/payment/qpay-invoice HTTP/1.0" 200 16942 "-" "PostmanRuntime/7.43.3"
::ffff:127.0.0.1 - - [26/Apr/2025:06:03:04 +0000] "GET /api/v1/user/info HTTP/1.0" 304 - "https://menu-qruvs.vercel.app/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36"
::1 - - [26/Apr/2025:06:03:05 +0000] "GET /api/v1/department/auth?type=food HTTP/1.0" 304 - "https://menu-qruvs.vercel.app/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [26/Apr/2025:06:03:05 +0000] "GET /api/v1/department/auth?type=hotel HTTP/1.0" 304 - "https://menu-qruvs.vercel.app/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36"
::1 - - [26/Apr/2025:06:05:07 +0000] "POST /api/v1/payment/qpay-invoice HTTP/1.0" 200 16958 "-" "PostmanRuntime/7.43.3"
::ffff:127.0.0.1 - - [26/Apr/2025:06:05:23 +0000] "POST /api/v1/payment/qpay-invoice HTTP/1.0" 200 17161 "-" "PostmanRuntime/7.43.3"
::1 - - [26/Apr/2025:06:09:42 +0000] "GET /api/v1/department/qpay HTTP/1.0" 400 112 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0"
